id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1245120166754758659,1245005786192982016,2020-03-31 23:45:55 BST,2020-03-31,23:45:55,+0000,333573138,diabeto1201,kevin o'brien,,@paddypower I mean when this lockdown is over it's only fair we visit each pub to be sure. Also to keep them ticking over. It's nice to be nice #WorldCupOfDublinPubs @slates16 @cooltwin83 @Steob88,en,"[{'screen_name': 'slates16', 'name': 'stephen slater', 'id': '35791226'}, {'screen_name': 'cooltwin83', 'name': ""paul o'brien"", 'id': '332996268'}, {'screen_name': 'steob88', 'name': ""stephen o'brien 🇮🇪"", 'id': '449355611'}]",[],[],0,0,3,['worldcupofdublinpubs'],[],https://twitter.com/diabeto1201/status/1245120166754758659,False,,0,,United Kingdom,,,,,,"[{'screen_name': 'paddypower', 'name': 'Paddy Power', 'id': '14387275'}]",,,,
1245119893210619907,1245119893210619907,2020-03-31 23:44:50 BST,2020-03-31,23:44:50,+0000,1439491350,dicebardublin,Dice Bar,,Will there be life after the lockdown or are we going to accept that public interaction is now associated with fear.  https://t.co/QDXCqvgdHz,en,[],[],[],1,0,1,[],[],https://twitter.com/DiceBarDublin/status/1245119893210619907,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1245119840769191936/pu/img/TJukXZxV7mGZun4m.jpg,United Kingdom,,,,,,[],,,,
1245119751308881922,1245119751308881922,2020-03-31 23:44:16 BST,2020-03-31,23:44:16,+0000,819590824149258241,zonj3records,Zonj3records,"{'type': 'Point', 'coordinates': [54.0, -2.0]}","Mandem on the rampage, stay at home fam,the lock down is real. @zonj3 #zonj3 #z #corona #comdey #lockdownuk @ United Kingdom  https://t.co/yuSPgbqRBJ",en,"[{'screen_name': 'zonj3', 'name': 'zonj', 'id': '1333908224718876678'}]",['https://www.instagram.com/p/B-Zm-EipKMW/?igshid=1ebslkfc93sag'],[],0,0,0,"['zonj3', 'z', 'corona', 'comdey', 'lockdownuk']",[],https://twitter.com/zonj3records/status/1245119751308881922,False,,0,,United Kingdom,,,,,,[],,,,
1245119686779580426,1245119686779580426,2020-03-31 23:44:01 BST,2020-03-31,23:44:01,+0000,401405993,elliotmur,elliot1798,,My analog film was supposed to take 5 days to develop but of course I took it to the store 4 days before the lockdown 🙃🙃 pics of Vienna while we wait  https://t.co/MU9eGmN0yL,en,[],[],"['https://pbs.twimg.com/media/EUeNuIaXgAAb7XY.jpg', 'https://pbs.twimg.com/media/EUeNuIkWoAADGrK.jpg', 'https://pbs.twimg.com/media/EUeNuIoWkAAwrOC.jpg', 'https://pbs.twimg.com/media/EUeNuIuWoAIRFFC.jpg']",1,0,7,[],[],https://twitter.com/elliotmur/status/1245119686779580426,False,,1,https://pbs.twimg.com/media/EUeNuIaXgAAb7XY.jpg,United Kingdom,,,,,,[],,,,
1245119632001949702,1245111483123544065,2020-03-31 23:43:48 BST,2020-03-31,23:43:48,+0000,1207968552566841344,mickvannergens,MickM 🇪🇺🇳🇱🇮🇪🏴󠁧󠁢󠁳󠁣󠁴󠁿😷💙,,"@lloyd_rm @CeliaGr28535021 Can you ask him, given that the Dutch Govt have been given advice to continue the lockdown until at least the 28th April, will we be doing the same. If we are to take it seriously, I hope so. The American way is not the way.",en,[],[],[],1,1,4,[],[],https://twitter.com/MickvanNergens/status/1245119632001949702,False,,0,,United Kingdom,,,,,,"[{'screen_name': 'lloyd_rm', 'name': 'Lloyd Russell-Moyle MP🌹🇪🇺🏳️\u200d🌈', 'id': '38880112'}, {'screen_name': 'CeliaGr28535021', 'name': 'Day off', 'id': '1184773968387031040'}]",,,,
1245119554981892096,1245119554981892096,2020-03-31 23:43:29 BST,2020-03-31,23:43:29,+0000,2315561981,harry_gibbons15,𝖍𝖆𝖗𝖗𝖄 𝕲𝖎𝖇𝖇𝖔𝖓𝖘,,"I'm getting some mad dreams in this lockdown, been writing them down since Saturday, gonna continue...",en,[],[],[],0,0,1,[],[],https://twitter.com/harry_gibbons15/status/1245119554981892096,False,,0,,United Kingdom,,,,,,[],,,,
1245119529467949056,1245119529467949056,2020-03-31 23:43:23 BST,2020-03-31,23:43:23,+0000,31257145,shonaclancy,shona clancy,"{'type': 'Point', 'coordinates': [52.6647, -8.62306]}","Currently look like a gremlin on lockdown so here's one I made earlier 👌❤🍻 #tbt @ Limerick, Ireland  https://t.co/5mGgxr8qRC",en,[],['https://www.instagram.com/p/B-akqvyDbuZ/?igshid=qu5glv279s8z'],[],0,0,0,['tbt'],[],https://twitter.com/ShonaClancy/status/1245119529467949056,False,,0,,United Kingdom,,,,,,[],,,,
1245119503857594371,1245027100547047424,2020-03-31 23:43:17 BST,2020-03-31,23:43:17,+0000,252789636,cherrybee_books,2nd Vacination done - Wear a fucking mask!,,@maureenyounger @JenBrister Just caught up with the recording. 2 weeks into my 12 week NHS advised lockdown and it was just the tonic. Although I’m probably stir crazy! Looking forward to next weeks live edition. Ta 👏 👏,en,[],[],[],1,0,3,[],[],https://twitter.com/CherryBee_Books/status/1245119503857594371,False,,0,,United Kingdom,,,,,,"[{'screen_name': 'maureenyounger', 'name': 'Maureen Younger', 'id': '234966252'}, {'screen_name': 'JenBrister', 'name': 'Jen Brister', 'id': '166557563'}]",,,,
1245119468365381633,1245117968318705666,2020-03-31 23:43:09 BST,2020-03-31,23:43:09,+0000,21474117,athinim,athini 🃏,,@SikiTravels Lockdown has you bored I see,en,[],[],[],0,0,0,[],[],https://twitter.com/athinim/status/1245119468365381633,False,,0,,United Kingdom,,,,,,[],,,,
1245119454859665408,1245119454859665408,2020-03-31 23:43:05 BST,2020-03-31,23:43:05,+0000,304505886,sophieletitia,SophieShouts,,I think this lock down is what I needed.,en,[],[],[],0,0,1,[],[],https://twitter.com/SophieLetitia/status/1245119454859665408,False,,0,,United Kingdom,,,,,,[],,,,
